row,name,brand,pattern
10176,"ONLY YOUR POSH Plates WILL DO, Poppet! Crimble's G",Mrs Crimbles,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
10533,JUST ADD HOT Water Milkyway HOT Chocolate,Milky Way,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
10665,5060220402522,,"^[0-9]{8,}$"
10829,ZERO SUGA Monste Energ Ultra,Monster,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
10831,ZERO SUGA Monste Energy ZERO Sugar,Monster,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
12045,NIK NAKS RIB 'N' Saucy Flavour,Kp Snacks,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
12221,M&S -food- Recycled Salad POT. Recycle ME AGA,M&S,-food-
12328,MAIN FROM Select Farms Tee Know & Trust 2 British,M&S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
12345,"M&S -food- Loaded With Barber's Cheddar Cheese, BU",M&S,-food-
12374,Crispsy Sides TO GO By M&S -food- HASH Brown Bites,M&S,-food-
12568,NS YOUR FIVE A Freshona Cauliflower Cheese Freshly,Freshona,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
12654,PEEL HERE Specially Selected British PORK App,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
12915,HOT OR COLD Milbona Low Fat strawberry,Milbona,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
12925,OUR LIST Smaktastic Potato Sticks SALT & Vinegar F,Snaktastic,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
13313,WR AB Cheese & Poppy Seed Twists,Waitrose,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
13619,WROT LING Downton Abbey THE Grand Finale ONLY IN C,Tyrell’S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
13645,FOR THE Dorits Zingy Vinegar Blast Flavour CORN CH,Doritos,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
13776,THE BIG Jim My ICE Coffe Caramel Oogie,Jimmys,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
14120,20 21 13 Teddy Advent Calendar 24 14,,^\d+ \d+ \d+
15120,WIN BIG With Your MIND Hourly Prizes Honda Vibes P,Proper,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
15469,NEW MINI THE Fish Market Cook In Bag 2 Haddock Fil,The Fish Market,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
15783,CAD CHOC Snack,Cadbury,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
15938,V Egetarian M&S -food- Green Goddess Dressing &quot;A L,M&S,-food-
15940,M&S -food- Whipped Spicy Nacho Cheddar DIP Reduced,M&S,-food-
