row,name,brand,reason
17479,Lindhals Pro,Nestlé,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17482,Kvarg,Lindahls,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17485,Lindahls Pro+ Kvarg Banoffee Pie,Nestlé,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17488,Lindahl’s Pro Tropical,Nestlé,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17549,Pepsi Max,Pepsi Zero,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17596,Extra Refreshers,Wrigley'S,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17597,"Extra Refreshers, Bubblemint",Wrigley'S,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17600,"Extra Refreshers, Tropical Flavour",Wrigley'S,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17629,M / Light Van&chc Sprinkle,Müller,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17755,Light Greek Lemon Yogurt,Milbona,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17809,Pepsi Max,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17811,Pepsi Max Cherry,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17812,Pepsi Max,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17813,Pepsi Max Ginger 2l,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17814,Pepsi Max,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17815,Pepsi Max Raspberry,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17816,Max Raspberry,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17817,Pepsi Max,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17820,Pepsi Max 0 Caffeine,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17822,7UP Zero/free Bottle,7 Up,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17868,Pepsi Strawberries & Cream Flavour,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17869,Pepsi Strawberry,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
17870,Pink Lemonade Zero Sugar,7Up,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18194,Dr Pepper,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18196,Coke-zero,Coca-Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18197,Pineapple & Grapefruit,Fanta,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18385,Energy Drink,Emerge,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18387,Red Berry,Boost,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18398,Dr Pepper,Coca-Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18447,Apple And Blackcurrant,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18644,R.white's Premium Lemonade,Whites,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18751,Orange Original,Tango,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18753,Lemonade,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
18755,Lemonade,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
19241,Classic Lemonade,Schweppes,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
19386,Apple And Blackcurrant Flavoued Water,Radnor Splash,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
19639,Lucozade Energy Cherry,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
19640,Lucozade Energy Pink Lemonade,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
19648,Lucozade Zero Pink Lemonade,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
19649,Lucazade Sport Sparkling,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
19650,Energy Zero Sugar Orange,Lucozade,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20851,Coca-cola Diet (UK),Coca-Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20852,Diet Coke,The Coke- Cola Company,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20853,Pineapple And Grapefruit Soda,Fanta,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20854,Fanta Zero Pineapple & Grapefruit,Fanta,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20859,Coca Cola Zero Sugar,Carex,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20860,Diet Coke Twisted Strawberry,Coke Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20862,Dr Pepper,Coca-Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20865,Oreolimited Edition Oreo,Coca-Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20867,Dr Pepper Cherry Crush,Dr Pepper,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20868,Dr Pepper Cherry Crush Zero Sugar,Dr Pepper,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20876,Fanta Fruit Twist 500 Ml,Fanta,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
20950,Lucozade Energy,Ribena,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
21358,Optifast,Nestlé,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
21449,7up Free,7Up,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
21450,Pepsi Max500ml,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
21451,Diet Pepsi,Pepsi,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
21543,Energy Drink Green Apple Sugar Free,Carabao,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
21586,Squeeze It,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
21740,Clay Oven Baked Lavash Bread,M&S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22388,Classic Thin Crust Pepperoni Pizza,Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22393,Jumbo Bagels,Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22396,Multigrain Waffles,Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22405,Homestyle Chicken Noodle Condensed Soup,Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22429,Shells & Cheese,Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22435,Homestyle Waffles,Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22441,English Muffins Original,Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22443,Classic Pizza Crust,Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22454,Birds Eye Voila! Family Size Chicken Stir-fry,Birds Eye,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22469,Rigatoni & Vegetables Zesty Marinara,Birds Eye,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22486,Original Bagels With Cream Cheese,Arla,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22493,Scooby-doo Baked Graham Cracker Snacks Cinnamon,Kellogg's,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22526,Chicken In A Biskit Original Baked Snack Crackers,Nabisco,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22536,Avocado Seed & Grain Bread,Greenwise Publix,US brand detected: publix
