row,name,category
17877,Gluten Free Chocolate Digestives,digestives-covered-with-chocolate
17934,Potato Wedges Lightly Spiced,frozen-fried-potatoes
17979,Thins Cheddar & Pepper,"snacks, meats-and-their-products"
18015,Tropical Blast Zero Sugar,artificially-sweetened-beverages
18032,Sliced Brioche Burger Buns,"plant-based-foods-and-beverages, plant-based-foods"
18164,Lentil Chips Maple Bacon Taste,"plant-based-foods-and-beverages, plant-based-foods"
18259,Thai Green Chicken Curry,"Thai-green-chicken-curry, Chicken curry"
18405,Cod Steaks,"Cod-steak-in-butter-sauce, cod steak in butter sau"
18466,Crunch Bacon Crispss,"Snacks, en:flavoured-potato-crisps"
18572,"Lemon, Coriander & Mint Cous Cous",savory-semolina-dishes
18589,Super Noodles Low Fat Chicken And Herb,semi-whole-durum-wheat-spirals
18594,Devon Custard Light,custards-and-pastry-creams
18766,Tango Mango,Carbonated-sugar-free-apple-and-mango-soft-drink-w
18888,Piri Piri Chicken With Rice,meals-with-chicken
18889,Hunters Chicken Risotto,"Slimming-world-hunter-s-chicken-risotto, Hunters C"
19153,Prawn Cocktail Crispss,"es:Patatas-fritas-en-bastones, en:potato-crisps"
19196,Luxury Sushi Collection,"Meals, Sushis-and-makis"
19258,Medium Egg Noodles,"Dried-wheat-noodles, dried egg noodles"
19514,Vegan Sushi,"Meals, Sushis-and-makis"
19536,Latte,"Salted-caramel-latte-sachets, coffe"
19609,Special K Milk Chocolate Cereal,cereal-flakes-with-chocolate
19883,Floury White Baps,"plant-based-foods-and-beverages, plant-based-foods"
19984,High Protein Granola,"variety-packs, prepared-foods-variety-packs"
19993,Wagyu Burgers,Wagyu-beef-burgers
20072,Sticky Pickle,"Sticky pickle, en:plant-based-pickles"
20448,"Roasted Almond Fruit, Nut & Seed Bars","Nut-and-seed-bars, en:cereal-bars"
20555,Native Pr*wn Crackers,"plant-based-foods-and-beverages, plant-based-foods"
20601,Mango Prebiotic Yoghurt,"Mango-pre-biotic-yoghurt, Cow milk yogurts"
20793,Sweet Potatos,"Sweet-potato-fries, Frozen French fries to roast"
20931,Beskidzkie Paluszki Z Solą,"plant-based-foods-and-beverages, plant-based-foods"
21173,Jelly Babies,bassetts-jelly-babies
21329,Rowntrees Pick & Mix Pouch,"Fat-1-sugars-15-salt-2, Not-recyclable-plastic"
21502,Lazy Vegan Italian Risotto,"Vegan-italian-risotto, Vegan-Italian-risotto"
21914,Vanilla & Coconut Pot,"Yogurt substitutes, en:non-dairy-yogurts"
21970,BEEF Massaman,massaman-curry-pastes
22241,Grated Italian Style Cheese,"Grated-italian-style-cheese, Cheese"
22318,Tesco Finest North Atlantic Sardines,"Sardines-with-sea-salt-and-spring-water, Tesco fin"
22352,Rosemary Breadsticks,"breadsticks-with-rosemary, da:crackers"
22593,Sea Salt Crackers,plain-salty-snacks
