row,name,category,pattern_matched
58876,Tostada Original Gullón,"Botanas, Snacks dulces",\bBotanas\b
58877,Dibus Mini Cacao,"Botanas, Snacks dulces",\bBotanas\b
58878,Galleta María,"Botanas, Snacks dulces",\bBotanas\b
58881,Dibus Sharkies Imp,"Botanas, Snacks dulces",\bBotanas\b
58885,"Vicens, Almond Souffle Round","Botanas, Snacks dulces",\bBotanas\b
58888,Albert Adrià Natura,"Botanas, Snacks dulces",\bBotanas\b
58891,Lacasitos Tuber,"Botanas, Snacks dulces",\bBotanas\b
58895,"Galactic Brownies With Chocolate Candies, Chocolate Candies","Botanas, Snacks dulces",\bBotanas\b
58911,Cream Crackers Integrales,"botanas, snacks-salados",\bBotanas\b
58921,Tubitos,"Botanas, Snacks dulces",\bBotanas\b
58922,Sour Glowworms,"Botanas, Snacks dulces",\bBotanas\b
58925,Natur Fun Oat,"Botanas, Snacks dulces",\bBotanas\b
58934,Galletas Relieve,"Botanas, Snacks dulces",\bBotanas\b
58937,Chic Kles XXL,"Botanas, Snacks dulces",\bBotanas\b
58975,No:1,"Botanas, Snacks dulces",\bBotanas\b
58977,No:1 More,"Botanas, Snacks dulces",\bBotanas\b
59144,Mentos Rainbow,"Botanas, Snacks dulces",\bBotanas\b
60812,Marshmallows Bunnies And Chicks,"Botanas, Snacks dulces",\bBotanas\b
60843,Menthol,"Botanas, Snacks dulces",\bBotanas\b
60988,Ladrillos,"Botanas, Snacks dulces",\bBotanas\b
61349,Raw Fruit & Nut Bar,"Botanas, Snacks dulces",\bBotanas\b
61490,Wafers,"Botanas, Snacks dulces",\bBotanas\b
61523,Brain Licker Balls,"Botanas, Snacks dulces",\bBotanas\b
61584,Snickers Fun Size,"Botanas, Snacks dulces",\bBotanas\b
62109,Simply Salted,"Botanas, Snacks salados",\bBotanas\b
62665,Mini Digestivechoco100g,"Botanas, Snacks dulces",\bBotanas\b
64291,Cookies Chocolate Chip,"Botanas, Snacks dulces",\bBotanas\b
64787,Cookilate,"Botanas, Snacks dulces",\bBotanas\b
65933,"The PUR Company, Spearmint Three, Sugar Free Gum","Botanas, Snacks dulces",\bBotanas\b
66324,Rellenos Pica,"es:botanas, es:dulces",\bBotanas\b
66651,Tangfastics,"Botanas, Snacks dulces",\bBotanas\b
67162,Absolute Black Dark Chocolate,"Botanas, Snacks dulces",\bBotanas\b
